NOM_RBD,NOM_DEPE,ALUMNOS_NO_VULNERABLES,ALUMNOS_VULNERABLES,MAT_NO_VULNERABLES,MAT_VULNERABLES,DIFERENCIA_VULNERABLES,DIFERENCIA_NO_VULNERABLES,DIFERENCIA_TOTAL,ALUMNOS_TOTAL,MAT_TOTAL
LICEO GABRIELA MISTRAL DE TEMUCO,Municipal DAEM,97,149,44,202,-53,53,0,246,246
LICEO PABLO NERUDA,Municipal DAEM,84,116,75,124,-8,9,1,200,199
ESCUELA ARTURO PRAT,Municipal DAEM,148,262,23,387,-125,125,0,410,410
ESCUELA LLAIMA,Municipal DAEM,602,326,924,3,323,-322,1,928,927
ESCUELA CAMPOS DEPORTIVOS,Municipal DAEM,317,471,783,4,467,-466,1,788,787
ESCUELA SANTA ROSA,Municipal DAEM,66,177,4,238,-61,62,1,243,242
ESCUELA STANDAR,Municipal DAEM,57,163,14,205,-42,43,1,220,219
ESCUELA MILLARAY,Municipal DAEM,139,145,283,0,145,-144,1,284,283
ESCUELA VILLA ALEGRE,Municipal DAEM,27,102,127,1,101,-100,1,129,128
COLEGIO MUNDO MAGICO,Municipal DAEM,450,255,701,4,251,-251,0,705,705
ESCUELA MANUEL RECABARREN,Municipal DAEM,80,178,64,193,-15,16,1,258,257
COMPLEJO EDUC. UN AMANECER EN LA ARAUCANIA,Municipal DAEM,78,183,98,162,21,-20,1,261,260
ESCUELA ANDRES BELLO,Municipal DAEM,85,148,95,138,10,-10,0,233,233
ESCUELA MUNICIPAL EL TRENCITO,Municipal DAEM,14,37,1,50,-13,13,0,51,51
ESCUELA ALONSO DE ERCILLA,Municipal DAEM,252,326,2,575,-249,250,1,578,577
ESCUELA PEDRO DE VALDIVIA,Municipal DAEM,49,180,225,3,177,-176,1,229,228
ESCUELA VILLA CAROLINA,Municipal DAEM,69,230,296,2,228,-227,1,299,298
ESCUELA LOS TRIGALES,Municipal DAEM,306,195,367,133,62,-61,1,501,500
ESCUELA LOS AVELLANOS,Municipal DAEM,58,143,197,3,140,-139,1,201,200
COLEGIO PROVIDENCIA DE TEMUCO,Particular Subvencionado,166,158,29,294,-136,137,1,324,323
LICEO ADVENTISTA DE TEMUCO,Particular Subvencionado,335,265,572,27,238,-237,1,600,599
ESCUELA BASICA VISTA VERDE,Particular Subvencionado,61,232,16,276,-44,45,1,293,292
ESCUELA PARTICULAR MADRE ADMIRABLE,Particular Subvencionado,180,115,4,290,-175,176,1,295,294
LICEO AUGUSTO WINTER,Particular Subvencionado,170,166,1,334,-168,169,1,336,335
ESCUELA PARTICULAR ESTRELLA DE BELEN,Particular Subvencionado,14,55,1,68,-13,13,0,69,69
LICEO CAMILO HENRIQUEZ DE TEMUCO,Particular Subvencionado,463,151,613,1,150,-150,0,614,614
ESCUELA PARTICULAR EL ROBLE,Particular Subvencionado,36,143,178,0,143,-142,1,179,178
ESCUELA PARTICULAR ALIANZA,Particular Subvencionado,32,113,0,144,-31,32,1,145,144
ESC.PART.SAN FRANCISCO DE ASIS DE TEMUCO,Particular Subvencionado,415,217,629,2,215,-214,1,632,631
COLEGIO SAN FRANCISCO,Particular Subvencionado,352,143,444,51,92,-92,0,495,495
LICEO POLITECNICO PUEBLO NUEVO,Particular Subvencionado,23,41,0,64,-23,23,0,64,64
INSTITUTO CLARET,Particular Subvencionado,1077,972,77,1971,-999,1000,1,2049,2048
ESCUELA PARTICULAR LA ESPIGA,Particular Subvencionado,19,152,166,5,147,-147,0,171,171
ESCUELA PART. WENCESLAO VALDIVIA,Particular Subvencionado,9,70,0,78,-8,9,1,79,78
ESCUELA PARTICULAR LAS AMERICAS,Particular Subvencionado,94,388,478,3,385,-384,1,482,481
ESCUELA PARTICULAR FRANCIA,Particular Subvencionado,186,138,19,305,-167,167,0,324,324
ESCUELA PARTICULAR ARTURO ARRIAGADA,Particular Subvencionado,20,65,33,51,14,-13,1,85,84
ESCUELA Y LICEO MONTESSORI,Particular Subvencionado,498,131,139,489,-358,359,1,629,628
ESCUELA PARTICULAR VILLA IRMA,Particular Subvencionado,49,187,39,196,-9,10,1,236,235
ESCUELA PARTICULAR SAN JUAN,Particular Subvencionado,69,279,2,345,-66,67,1,348,347
LICEO PARTICULAR NAZARETH,Particular Subvencionado,17,91,103,4,87,-86,1,108,107
ESCUELA PARTICULAR LOS TRIGALES,Particular Subvencionado,16,82,97,0,82,-81,1,98,97
ESCUELA PART.SANTA MARIA DE LA RIBERA,Particular Subvencionado,81,176,2,254,-78,79,1,257,256
ESCUELA PARTICULAR CLAUDIO MATTE,Particular Subvencionado,131,350,479,1,349,-348,1,481,480
COLEGIO PARTICULAR I. CULTURA BRITANICA,Particular Subvencionado,96,140,15,220,-80,81,1,236,235
ESCUELA PARTICULAR PAPELUCHO,Particular Subvencionado,32,37,0,68,-31,32,1,69,68
COLEGIO MANUEL MONTT,Particular Subvencionado,94,258,6,345,-87,88,1,352,351
ESCUELA PARTICULAR MONO PAINE,Particular Subvencionado,22,202,222,2,200,-200,0,224,224
ESCUELA PARTICULAR SIGLO XXI,Particular Subvencionado,332,197,475,53,144,-143,1,529,528
COLEGIO BAUTISTA,Particular Pagado,511,26,293,243,-217,218,1,537,536
COLEGIO DE LA SALLE,Particular Pagado,263,23,19,266,-243,244,1,286,285
COLEGIO ALEMAN,Particular Pagado,532,8,536,3,5,-4,1,540,539
COLEGIO METODISTA,Particular Subvencionado,272,48,27,293,-245,245,0,320,320
COLEGIO SANTA CRUZ,Particular Subvencionado,437,94,4,527,-433,433,0,531,531
COLEGIO CENTENARIO,Particular Subvencionado,404,41,442,2,39,-38,1,445,444
COLEGIO LATINOAMERICANO,Particular Subvencionado,4,34,0,37,-3,4,1,38,37
ESCUELA PARTICULAR ALFA Y OMEGA,Particular Subvencionado,66,80,145,0,80,-79,1,146,145
COLEGIO ANTUMALEN,Particular Subvencionado,6,7,4,8,-1,2,1,13,12
ESCUELA NRO 15  AMI,Particular Subvencionado,20,131,1,149,-18,19,1,151,150
GREEN HOUSE SCHOOL,Particular Pagado,485,8,202,290,-282,283,1,493,492
COLEGIO NUEVA CONCEPCION,Particular Subvencionado,210,38,247,0,38,-37,1,248,247
COLEGIO DE APLICACION,Particular Subvencionado,213,359,567,4,355,-354,1,572,571
ESCUELA ARTISTICA ARMANDO DUFEY BLANC,Municipal DAEM,399,175,429,144,31,-30,1,574,573
ESCUELA GRACIA Y PAZ,Particular Subvencionado,149,125,233,40,85,-84,1,274,273
ESCUELA ESPECIAL HOSPITALARIA TEMUCO,Particular Subvencionado,4,10,0,14,-4,4,0,14,14
COLEGIO SCOLE CREARE,Particular Subvencionado,406,71,476,1,70,-70,0,477,477
COLEGIO GOLDEN SCHOOL,Particular Subvencionado,95,60,154,1,59,-59,0,155,155
COLEGIO BETANIA,Particular Subvencionado,84,142,2,223,-81,82,1,226,225
COLEGIO INNOV-ARTE,Particular Subvencionado,413,184,563,33,151,-150,1,597,596
ESCUELA PART. APRENDIENDO A VIVIR,Particular Subvencionado,77,90,1,165,-75,76,1,167,166
COLEGIO PUMAHUE,Particular Pagado,316,20,29,306,-286,287,1,336,335
LICEO HUMANISTA CIENTIFICO BRAINSTORM,Particular Subvencionado,235,129,6,357,-228,229,1,364,363
LICEO PARTICULAR JAN COMENIUS,Particular Subvencionado,52,44,1,95,-51,51,0,96,96
GEORGE CHAYTOR ENGLISH COLLEGE,Particular Pagado,442,18,132,328,-310,310,0,460,460
COLEGIO CONGREGACIÃN OLIVOS,Particular Subvencionado,24,37,0,60,-23,24,1,61,60
LICEO BICENTENARIO DE TEMUCO,Municipal DAEM,67,52,117,1,51,-50,1,119,118
COLEGIO FOR LIFE,Particular Subvencionado,167,118,3,281,-163,164,1,285,284
COLEGIO NEWHARVEST,Particular Subvencionado,205,327,2,530,-203,203,0,532,532
COLEGIO SAINT PATRICK SCHOOL,Particular Subvencionado,420,67,416,70,-3,4,1,487,486
ESCUELA PART. TEMUCO COLLEGE,Particular Subvencionado,138,28,164,1,27,-26,1,166,165
COLEGIO HEBREO,Particular Subvencionado,88,52,136,3,49,-48,1,140,139
COLEGIO PARTICULAR EXCELSIOR,Particular Subvencionado,1,6,7,0,6,-6,0,7,7
